question;answer;category;source;source_url
¿Qué ofrece exactamente Empresas mas Tranquilas, innovadoras y sostenibles - De Seguridad y Prevención laboral a las empresas en Colombia?;"""Empresas más Tranquilas, Innovadoras y Sostenibles - De Seguridad y Prevención Laboral"" ofrece a las empresas en Colombia servicios especializados en la gestión de Seguridad y Salud en el Trabajo (SG-SST). Nuestro enfoque se centra en la promoción de la salud y la prevención de riesgos laborales, ayudando a las empresas a proteger sus inversiones mediante prácticas ágiles y eficientes, como SCRUM, Kanban y Design Thinking. Ofrecemos un respaldo legal y técnico a través de un equipo multidisciplinario que incluye psicólogos, médicos e ingenieros, garantizando el cumplimiento normativo. Los servicios incluyen consultoría, capacitaciones, mediciones higiénicas ocupacionales y la Batería de Riesgo Psicosocial, con atención rápida, clara y humana, y cobertura nacional en modalidad virtual o presencial. Si deseas más información o solicitar una asesoría inicial gratuita, puedes hacerlo a través de nuestro sitio web.";inicio;Web (HTML);https://deseguridad.net/
¿Qué tipo de servicios de seguridad y salud en el trabajo ofrece Empresas mas Tranquilas, innovadoras y sostenibles - De Seguridad y Prevención laboral?;Ofrecemos una variedad de servicios especializados en Seguridad y Salud en el Trabajo (SG-SST), los cuales incluyen: consultoría en SG-SST, capacitaciones en SG-SST, mediciones higiénicas ocupacionales, evaluación de riesgos psicosociales a través de la Batería de Riesgo Psicosocial en Colombia, y la creación de profesiogramas documentales técnicos. Nos destacamos por nuestra atención rápida, clara y humana, así como por nuestra cobertura nacional con modalidades virtuales o presenciales. Además, contamos con un equipo multidisciplinario de profesionales y un respaldo legal y técnico que garantiza el cumplimiento normativo. Si deseas más detalles sobre nuestros servicios, puedes visitar nuestra página y solicitar una asesoría inicial gratuita.;inicio;Web (HTML);https://deseguridad.net/
¿Por qué una empresa debería trabajar con Empresas mas Tranquilas, innovadoras y sostenibles - De Seguridad y Prevención laboral?;Una empresa debería trabajar con Deseguridad.net porque ofrecemos un enfoque integral en la promoción de la salud y la prevención de riesgos laborales, ayudando a las organizaciones a cumplir con el SG-SST de manera eficiente y con menor complejidad. Constatamos que el 70% de las empresas en Colombia incumplen este sistema, por lo que nuestra experiencia y respaldo legal y técnico son fundamentales para evitar sanciones y gestionar adecuadamente los riesgos. Contamos con un equipo multidisciplinario y utilizamos tecnologías innovadoras para simplificar la gestión, lo que se traduce en una atención rápida, clara y humana. Al elegirnos como socios estratégicos, las empresas no solo protegen su inversión, sino que también mejoran su productividad y bienestar laboral. Para más información sobre nuestros servicios, puedes solicitar una asesoría inicial gratuita y sin compromiso en nuestra página.;inicio;Web (HTML);https://deseguridad.net/
¿Cómo puedo empezar a trabajar con Empresas mas Tranquilas, innovadoras y sostenibles - De Seguridad y Prevención laboral?;"Para comenzar a trabajar con ""Empresas más Tranquilas, innovadoras y sostenibles - De Seguridad y Prevención laboral"", puedes solicitar una asesoría inicial gratuita y sin compromiso. Simplemente déjanos tus datos en nuestra página web, y pronto nos pondremos en contacto para iniciar un diagnóstico que se ajuste a las necesidades de tu empresa. Además, si tienes interés en servicios específicos como el Profesiograma o la Batería de Riesgo Psicosocial, puedes obtener más detalles y cotizaciones directas en la siguiente ruta: https://deseguridad.net/riesgo-psicosocial/.";inicio;Web (HTML);https://deseguridad.net/
¿Qué es Politica de Tratamiento de Datos - De Seguridad y Prevención laboral y para qué sirve?;"La ""Política de Tratamiento de Datos - De Seguridad y Prevención laboral"" es un documento que establece las pautas y el enfoque que Deseguridad.net adopta para garantizar el manejo adecuado de la información personal de acuerdo con la normativa vigente. Su propósito es asegurar a los usuarios que sus datos serán tratados de manera responsable y conforme a la legislación correspondiente, protegiendo así su privacidad y derechos. Para más información detallada sobre esta política, puedes consultar directamente nuestro sitio web en https://deseguridad.net/politica-tratamiento-datos/.";politica-de-tratamiento-de-datos;Web (HTML);https://deseguridad.net/politica-de-tratamiento-de-datos/
¿Qué información cubre exactamente Politica de Tratamiento de Datos - De Seguridad y Prevención laboral?;"La ""Política de Tratamiento de Datos - De Seguridad y Prevención Laboral"" cubre la manera en que se manejan y protegen los datos personales de los clientes, asegurando que el tratamiento de dicha información se realice conforme a la normativa vigente. Para obtener información más específica sobre los aspectos cubiertos en esta política, te invitamos a visitar nuestra página y explorar los detalles correspondientes.";politica-de-tratamiento-de-datos;Web (HTML);https://deseguridad.net/politica-de-tratamiento-de-datos/
¿Qué datos personales se tratan según Politica de Tratamiento de Datos - De Seguridad y Prevención laboral?;La Política de Tratamiento de Datos - De Seguridad y Prevención Laboral detalla que los datos personales tratados se manejan de acuerdo con la normatividad vigente, sin especificar en el contenido los tipos concretos de datos personales que se manejan. Para obtener información más precisa sobre los datos personales específicos tratados, te recomendamos visitar nuestra política completa en la página web o contactar directamente a través del siguiente enlace: https://deseguridad.net/politica-de-tratamiento-de-datos/;politica-de-tratamiento-de-datos;Web (HTML);https://deseguridad.net/politica-de-tratamiento-de-datos/
¿Cómo puede un usuario ejercer sus derechos de protección de datos según Politica de Tratamiento de Datos - De Seguridad y Prevención laboral?;"Un usuario puede ejercer sus derechos de protección de datos según la ""Política de Tratamiento de Datos - De Seguridad y Prevención laboral"" contactando directamente a nuestro equipo a través de los canales dispuestos para tal fin, donde se les brindará la orientación necesaria para el ejercicio de sus derechos. Para obtener más información y detalles específicos sobre el proceso, puedes visitar la siguiente ruta: https://deseguridad.net/politica-de-tratamiento-de-datos/.";politica-de-tratamiento-de-datos;Web (HTML);https://deseguridad.net/politica-de-tratamiento-de-datos/
¿Qué es Terminos y condiciones - De Seguridad y Prevención laboral y para qué sirve?;"Los ""Términos y condiciones - De Seguridad y Prevención laboral"" son un conjunto de disposiciones legales que rigen el uso de los servicios de Deseguridad.net, estableciendo las normas bajo las cuales se recogen, manejan y protegen los datos personales de los usuarios. Estos términos solicitan la autorización de los titulares de los datos para su inclusión en bases de datos de TECNOINNSOFT SAS, con el objetivo de utilizar la información para marketing, seguimiento de ofertas y gestión comercial, además de garantizar que los usuarios pueden ejercer sus derechos sobre sus datos. Es un documento que asegura el cumplimiento de la ley estatutaria 1581 de 2012 y sus normativas relacionadas, protegiendo tanto a la empresa como a los usuarios en el tratamiento de información personal.";terminos-y-condiciones;Web (HTML);https://deseguridad.net/terminos-y-condiciones/
¿Qué información cubre exactamente Terminos y condiciones - De Seguridad y Prevención laboral?;"Los ""Términos y condiciones - De Seguridad y Prevención laboral"" cubren aspectos relacionados con la autorización del tratamiento de datos personales conforme a la ley estatutaria 1581 de 2012 de protección de datos. Incluyen información sobre la incorporación de datos en una base de datos de TECNOINNSOFT SAS, la finalidad de uso de estos datos para procesos de marketing y prospección comercial, la posible transferencia a terceras entidades relacionadas con marketing de afiliados, así como la gestión comercial. También se detalla qué derechos tiene el titular de los datos, como acceso, corrección, supresión, renoviación o reclamo por infracción, así como la información que se recopila: nombre, teléfono, correo electrónico, nombre de la empresa, ciudad y productos o servicios de interés. Finalmente, se establece que al registrarse en las páginas mencionadas se acepta el tratamiento de los datos y se ofrece la posibilidad de cancelar o modificar la suscripción enviando un correo electrónico.";terminos-y-condiciones;Web (HTML);https://deseguridad.net/terminos-y-condiciones/
